Timestamp,Gender,how much do you agree about this statement: “I believe genetics play a significant role in shaping personality traits”?,"In your opinion, do you think personality traits like are mainly influenced by genetics or by the environment?",Have you ever wondered whether certain personality traits run in your family?,Would you be interested in learning more about how your genes influence your personality?,How much influence do you think your family’s personality traits have had on shaping your own personality? ,do you think your family’s personality traits have had on shaping your own personality? 
3/7/2024 17:55:58,Male,Strongly Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Yes,,Strongly Agree
3/7/2024 18:01:35,Male,Agree,Influenced by Enviroment,No there is a certain personality trait in my family,Yes,,Neutral
3/7/2024 18:02:02,Female,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Neutral
3/8/2024 18:02:02,Male,Agree,Influenced by Enviroment,No there is a certain personality trait in my family,Yes,,Agree
3/9/2024 18:02:02,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Maybe,,Agree
3/10/2024 18:02:02,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Maybe,,Strongly Agree
3/11/2024 18:02:02,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/12/2024 18:02:02,Female,Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Yes,,Agree
3/13/2024 18:02:02,Male,Disagree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Maybe,,Strongly Agree
3/14/2024 18:02:02,Male,Agree,Influenced by Enviroment,I didn't think about that,No,,Agree
3/15/2024 18:02:02,Male,Agree,Influenced by Enviroment,I didn't think about that,No,,Agree
3/16/2024 18:02:02,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/17/2024 18:02:02,Female,Neutral,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Neutral
3/18/2024 18:02:02,Male,Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Yes,,Agree
3/19/2024 18:02:02,Male,Disagree,Influenced by Enviroment,I didn't think about that,Maybe,,Disagree
3/20/2024 18:02:02,Male,Agree,Influenced by Genetics,I didn't think about that,Yes,,Agree
3/7/2024 19:05:43,Male,Neutral,Influenced by Enviroment,I didn't think about that,Yes,,Disagree
3/7/2024 19:10:33,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/7/2024 19:12:49,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,No,,Strongly Agree
3/7/2024 19:16:09,Male,Disagree,Influenced by Enviroment,I didn't think about that,Maybe,,Neutral
3/7/2024 19:21:18,Male,Strongly Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Yes,,Strongly Agree
3/7/2024 19:44:12,Male,Strongly Disagree,Influenced by Enviroment,I didn't think about that,No,,Strongly Agree
3/7/2024 20:00:42,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 0:29:43,Female,Disagree,Influenced by Enviroment,I didn't think about that,Yes,,Agree
3/8/2024 9:52:25,Female,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 9:56:37,Male,Agree,Influenced by Enviroment,No there is a certain personality trait in my family,Yes,,Strongly Agree
3/8/2024 10:05:59,Male,Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Maybe,,Neutral
3/8/2024 10:10:08,Male,Neutral,,Yes there is a certain personality trait in my family,Yes,,Strongly Disagree
3/8/2024 10:17:12,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 10:47:05,Male,Neutral,Influenced by Enviroment,I didn't think about that,Maybe,,Agree
3/8/2024 11:01:34,Male,Neutral,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 11:16:22,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 11:49:18,Male,Neutral,Influenced by Enviroment,No there is a certain personality trait in my family,Yes,,Neutral
3/8/2024 11:59:42,Male,Neutral,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Neutral
3/8/2024 13:23:58,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Strongly Agree
3/8/2024 17:50:51,Male,Agree,Influenced by Enviroment,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 21:07:15,Female,Neutral,Influenced by Enviroment,I didn't think about that,Yes,,Agree
3/8/2024 22:35:38,Male,Agree,Influenced by Genetics,Yes there is a certain personality trait in my family,Yes,,Agree
3/8/2024 23:54:33,Female,Neutral,Influenced by Enviroment,No there is a certain personality trait in my family,Yes,,Neutral
